lemma,pos,clue,filter_score
palmier,nom,Arbre tropical,0.8607
parodie,nom,Imitation burlesque,0.8549
pendule,nom,Horloge oscillante,0.8656
proprio,nom,Personne,0.9997
prêcher,verbe,Annoncer,0.8100
puberté,nom,Âge de l'adolescence,0.8042
rédiger,verbe,Écrire,0.9997
soudain,adj,Brusquement,0.8097
sursaut,nom,Éclat soudain,0.8014
tambour,nom,Instrument de percussion,0.8362
terrain,nom,Surface,0.9998
travail,nom,Activité,0.9989
tumulte,nom,Trouble et agitation,0.8637
vacarme,nom,Bruit assourdissant,0.9066
vicieux,adj,Malfaisant,0.8079
vigueur,nom,Force,0.8369
étudier,verbe,Apprendre,0.9998
abaisser,verbe,Rendre plus bas,0.8462
activité,nom,Occupation,0.8189
alphabet,nom,Ordre des lettres,0.8317
altérité,nom,Différence,0.8708
anéantir,verbe,Rayer,0.8347
appareil,nom,Machine,0.9167
archipel,nom,Groupe d'îles,0.8262
attribut,nom,Qualité distinctive,0.8094
boussole,nom,Instrument de navigation,0.8115
cantonal,adj,Régional,0.9998
chapelle,nom,Oratoire sacré,0.8324
chiffrer,verbe,Coder,0.9263
donateur,nom,Bienfaiteur,0.8601
empereur,nom,Monarque romain,0.8457
fonction,nom,Travail,0.9994
inachevé,adj,Non terminé,0.8372
individu,nom,Être humain,0.8441
insomnie,nom,Trouble du sommeil,0.8986
intestin,nom,Organe digestif,0.8838
intégral,adj,Essentiel,0.9993
laiterie,nom,Fromagerie,0.8265
logement,nom,Résidence,0.9994
loisible,adj,Applicable,0.8037
millième,nom,Dixième,0.9504
métrique,nom,Système de mesure,0.8410
oculaire,nom,Relatif à l'œil,0.8399
ordonner,verbe,Classer,0.9217
oreiller,nom,Coussin douillet,0.8018
oriental,nom,Asiatique,0.9998
originel,adj,Premier,0.9834
papillon,nom,Insecte coloré,0.8245
paquebot,nom,Navire de croisière,0.8361
parasite,nom,Créature nuisible,0.8711
parcours,nom,Itinéraire,0.9987
parution,nom,Publication,0.9992
pistolet,nom,Arme à feu,0.8217
polygone,nom,Figure géométrique,0.8573
pression,nom,Force exercée,0.8411
prologue,nom,Préambule,0.8237
prédicat,nom,Terme grammatical,0.8056
prélever,verbe,Prendre,0.9998
psychose,nom,Trouble mental grave,0.8380
relation,nom,Lien,0.9992
replacer,verbe,Substituer,0.8008
requérir,verbe,Exiger,0.8231
retentir,verbe,Résonner,0.8083
révision,nom,Correction,0.9998
seizième,nom,Quinzième,0.9545
spontané,adj,Naturel,0.9991
supplier,verbe,Livrer,0.8198
syntagme,nom,Groupe de mots,0.8400
teinture,nom,Colorant,0.8080
terminus,nom,Point final,0.8316
timidité,nom,Réserve,0.9970
ténacité,nom,Force,0.8491
électeur,nom,Citoyen votant,0.8514
éliminer,verbe,Supprimer,0.9998
énumérer,verbe,Citer,0.8303
équation,nom,Problème mathématique,0.8697
érotisme,nom,Sensualité,0.8364
étendard,nom,Drapeau emblématique,0.8247
évaporer,verbe,Disperser,0.8273
abolition,nom,Suppression totale,0.8235
accomplir,verbe,Réaliser,0.9998
acquéreur,nom,Acheteur,0.8262
allégorie,nom,Récit symbolique,0.8319
antiquité,nom,Époque ancienne,0.8441
antérieur,nom,Avant,0.9978
applaudir,verbe,Louer,0.8382
aquarelle,nom,Technique picturale,0.8133
astronome,nom,Observateur des étoiles,0.8282
collectif,nom,Groupe,0.9983
consentir,verbe,Accepter,0.9409
dentition,nom,Changement de dents,0.8161
direction,nom,Sens,0.9998
disparité,nom,Inégalité,0.8644
dissocier,verbe,Séparer,0.8486
désespoir,nom,Abîme sans fond,0.8043
désirable,adj,Souhaitable,0.9723
entrevoir,verbe,Discerner,0.8155
existence,nom,Présence,0.9996
explosion,nom,Déflagration soudaine,0.8605
extension,nom,Ajout,0.9998
fabriquer,verbe,Créer,0.9991
firmament,nom,Voûte céleste,0.8124
flatterie,nom,Éloge excessif,0.8288
gradation,nom,Échelonnement progressif,0.8014
hardiesse,nom,Courage et force,0.8033
honnêteté,nom,Sincérité,0.8699
idéalisme,nom,Doctrine philosophique,0.8285
indignité,nom,Sentiment de mépris,0.8085
infinitif,adj,Forme verbale,0.8080
inflation,nom,Hausse des prix,0.8188
instaurer,verbe,Établir,0.8803
intellect,nom,Capacité mentale,0.8670
intensité,nom,Force,0.8370
interview,nom,Question,0.9994
inventeur,nom,Créateur novateur,0.8110
islamisme,nom,Doctrine religieuse,0.8337
longitude,nom,Latitude,0.8789
manomètre,nom,Instrument de mesure,0.9214
monastère,nom,Couvent religieux,0.8061
moustache,nom,Barbe,0.9997
nettoyage,nom,Action de rendre propre,0.8155
nettoyant,nom,Dégraissant,0.8207
paludisme,nom,Maladie tropicale,0.8009
pluralité,nom,Nombreux,0.9998
professer,verbe,Enseigner,0.8398
préambule,nom,Introduction,0.9998
psychisme,nom,Pouvoir de l'esprit,0.8112
puissance,nom,Force,0.8376
quadruple,nom,Double double,0.8027
raffermir,verbe,Améliorer,0.9301
rationnel,adj,Logique,0.9998
ravissant,nom,Éblouissant,0.8440
rectitude,nom,Honnêteté,0.8106
résection,nom,Suppression chirurgicale,0.8342
singulier,adj,Unique,0.9997
spectacle,nom,Représentation,0.9996
subjectif,adj,Particulier,0.9998
suggestif,adj,Évocateur,0.8111
surpasser,verbe,Dépasser,0.9505
tradition,nom,Héritage culturel,0.8417
téméraire,nom,Intrépide,0.8494
vulgarité,nom,Grossièreté,0.8110
évocation,nom,Invocation du passé,0.8627
abominable,adj,Effroyable,0.8758
abrogation,nom,Suppression d'une loi,0.8504
actualiser,verbe,Rendre actuel,0.8591
adjonction,nom,Action d'ajouter,0.8956
allocation,nom,Distribution,0.9981
alternatif,nom,Autre,0.9997
amputation,nom,Suppression d'une partie,0.8155
antipathie,nom,Aversion profonde,0.8679
apiculture,nom,Élevage des abeilles,0.8020
assassinat,nom,Action de tuer,0.8603
avilissant,adj,Humiliant,0.9572
catéchisme,nom,Instruction religieuse,0.8470
chancelant,adj,Vacillant,0.8157
confidence,nom,Assurance,0.9998
dignitaire,nom,Personne de haut rang,0.8554
discrétion,nom,Sagesse,0.9998
découvreur,nom,Explorateur,0.8249
déplaisant,adj,Désagréable,0.8183
détonation,nom,Explosion retentissante,0.8226
excitation,nom,Émotion intense,0.8816
extinction,nom,Disparition totale,0.8687
facultatif,adj,Non obligatoire,0.8221
forclusion,nom,Exclusion définitive,0.8486
groupement,nom,Ensemble,0.9993
holocauste,nom,Génocide,0.8121
hétérogène,adj,Divers,0.9998
imaginable,adj,Concevable,0.8931
immobilité,nom,Fixité,0.8328
importance,nom,Poids,0.9998
imposition,nom,Charge fiscale,0.8898
imprimerie,nom,Atelier de typographie,0.8234
inactivité,nom,Manque d'action,0.8410
inamovible,adj,Immuable,0.8852
inconstant,adj,Changeant,0.8281
indécision,nom,Hésitation,0.8051
inhabituel,adj,Étrange,0.9996
intonation,nom,Modulation vocale,0.8325
libertaire,nom,Anarchiste,0.8061
machinisme,nom,Philosophie matérialiste,0.8356
majoration,nom,Augmentation,0.9992
microscope,nom,Instrument d'optique,0.8359
monstrueux,adj,Effrayant et atroce,0.8047
occurrence,nom,Événement,0.8015
oppresseur,nom,Dominateur,0.8853
ordination,nom,Sacerdoce,0.8012
orfèvrerie,nom,Art du métal précieux,0.8196
parenthèse,nom,Crochet,0.9998
pathétique,adj,Triste et pitoyable,0.8398
pensionnat,nom,Internat,0.8069
percussion,nom,Instrument rythmique,0.8491
pernicieux,adj,Dangereux,0.8276
persuasion,nom,Action de convaincre,0.8453
pontifical,adj,Épiscopal,0.8066
projection,nom,Représentation,0.9998
provenance,nom,Origine,0.9997
punissable,adj,Condamnable,0.8550
robustesse,nom,Force,0.8370
réciproque,adj,Mutuel,0.8399
réparation,nom,Restauration,0.9906
répétiteur,nom,Amplificateur,0.8384
résorption,nom,Absorption naturelle,0.8123
scrupuleux,adj,Pointilleux,0.8023
surchauffe,nom,Échauffement excessif,0.8911
téléphoner,verbe,Composer,0.8036
usurpateur,nom,Preneur illégal,0.8093
échancrure,nom,Encoche profonde,0.8220
éclatement,nom,Explosion soudaine,0.8030
écrasement,nom,Chute brutale,0.8398
équitation,nom,Art équestre,0.8814
acharnement,nom,Persécution obstinée,0.8170
acquisition,nom,Obtention,0.8271
affectivité,nom,Sensibilité émotionnelle,0.8876
approbation,nom,Acceptation,0.8555
atténuation,nom,Diminution,0.8411
bilinguisme,nom,Maîtrise de deux langues,0.8398
bolchevisme,nom,Doctrine communiste,0.8415
bruissement,nom,Bruit sourd,0.8059
calorimètre,nom,Instrument de mesure,0.8492
coagulation,nom,Floculation du sang,0.8050
conséquence,nom,Effet,0.9998
contraction,nom,Réduction,0.8671
contrôlable,adj,Maîtrisable,0.9125
célébration,nom,Fête,0.9998
dommageable,adj,Préjudiciable,0.8285
dynamomètre,nom,Appareil de mesure,0.8248
déformation,nom,Altération,0.8009
démarcation,nom,Ligne de séparation,0.8424
dépravation,nom,Corruption morale,0.8258
dévastation,nom,Désolation totale,0.8462
entomologie,nom,Étude des insectes,0.8081
entreposage,nom,Conservation,0.8121
expectation,nom,Anticipation,0.8345
expectative,nom,Anticipation,0.8429
gravitation,nom,Force d'attraction,0.8381
hospitalité,nom,Accueil chaleureux,0.8105
inaltérable,adj,Immuable,0.9145
inculpation,nom,Acte d'accusation,0.8853
infatigable,adj,Inlassable,0.8338
inhabitable,adj,Invivable,0.8500
insatisfait,nom,Mécontent,0.8472
instructeur,nom,Maître enseignant,0.8819
interpeller,verbe,Appeler,0.8478
intolérable,adj,Insupportable,0.8027
lamentation,nom,Plainte,0.8216
méconnaître,verbe,Ignorer,0.8356
observateur,nom,Spectateur attentif,0.8889
obstination,nom,Entêtement,0.8986
occasionnel,adj,Rare,0.9998
orthographe,nom,Écriture correcte,0.8933
outrepasser,verbe,Dépasser,0.9456
panoramique,nom,Large,0.9998
parlementer,verbe,Négocier,0.9385
prohibition,nom,Interdiction totale,0.8418
prospective,nom,Futur,0.9985
préposition,nom,Mot placé avant un nom,0.8105
quatorzième,nom,Douzième,0.9457
ravitailler,verbe,Réapprovisionner,0.8495
refondation,nom,Reconstruction totale,0.8055
réglementer,verbe,Contrôler,0.8853
réplication,nom,Duplication,0.9500
solliciteur,nom,Demandeur,0.9634
stipulation,nom,Condition expresse,0.8552
temporalité,nom,Succession du temps,0.8391
toxicologie,nom,Étude des poisons,0.8060
toxicomanie,nom,Dépendance aux drogues,0.8826
transfusion,nom,Injection de sang,0.8193
écroulement,nom,Effondrement,0.8784
énonciation,nom,Expression orale,0.8191
éradication,nom,Élimination totale,0.8137
étatisation,nom,Nationalisation,0.9618
actualisable,adj,Modifiable,0.8647
affectuosité,nom,Tendresse,0.8273
agrobiologie,nom,Étude biologique,0.8420
altimétrique,adj,En matière de mesure,0.8569
anaphrodisie,nom,Diminution de la libido,0.8138
annihilation,nom,Éradication totale,0.8597
antieuropéen,nom,Hostile à l'Europe,0.8093
antifasciste,nom,Opposé au fascisme,0.8181
antiseptique,nom,Désinfectant,0.8329
archidiocèse,nom,Siège épiscopal principal,0.8168
arithmomètre,nom,Machine à calculer,0.8211
astigmatisme,nom,Trouble de la vision,0.8172
attroupement,nom,Rassemblement,0.8166
authentifier,verbe,Certifier,0.8491
bannissement,nom,Exclusion,0.8046
canalisateur,nom,Conducteur,0.8153
cancérologie,nom,Étude des cancers,0.8312
cannibaliser,verbe,Dévorer,0.8034
carillonneur,nom,Sonneur de cloches,0.8047
chocolaterie,nom,Confiserie spécialisée,0.8299
chuchotement,nom,Souffle doux,0.8229
coentreprise,nom,Association d'entreprises,0.8518
collectivité,nom,Groupe,0.9997
communicable,adj,Transmissible,0.8478
comportement,nom,Action,0.9991
conditionner,verbe,Régler,0.8373
confidentiel,adj,Secret,0.9992
configurable,adj,Adaptable,0.8417
contingenter,verbe,Limiter,0.8822
contrebattre,verbe,Défendre,0.8245
contribution,nom,Apport,0.9995
conversation,nom,Échange verbal,0.8061
cryptanalyse,nom,Décryptage,0.9548
densitomètre,nom,Appareil de mesure,0.8303
discernement,nom,Sagesse,0.9998
discontinuer,verbe,Arrêter,0.9673
dispensation,nom,Distribution,0.8139
dissemblance,nom,Différence notable,0.8952
dissociateur,adj,Séparateur,0.8004
distribuable,adj,Partageable,0.9840
distribution,nom,Diffusion,0.9997
droitisation,nom,Radicalisation,0.8062
dysthyroïdie,nom,Trouble de la thyroïde,0.9014
déchiffrable,adj,Lisible,0.9486
décoloration,nom,Altération de la couleur,0.8284
déflagration,nom,Explosion violente,0.9045
désamination,nom,Élimination des impuretés,0.8161
désincitatif,adj,Dissuasif,0.8310
désinfecteur,nom,Agent nettoyant,0.8379
désinflation,nom,Baisse des prix,0.8064
déterminatif,nom,Adjectif,0.8772
développable,adj,Dépliable,0.8800
effervescent,adj,Pétillant,0.8086
enorgueillir,verbe,Rendre fier,0.8692
excédentaire,adj,En surplus,0.8076
exonératoire,adj,Libératoire,0.8482
exothermique,adj,Libérateur de chaleur,0.8224
expurgatoire,adj,Purificateur,0.8112
extensomètre,nom,Instrument de mesure,0.8668
faillibilité,nom,Vulnérabilité,0.8244
faradisation,nom,Électrisation,0.8272
fluorescence,nom,Émission lumineuse,0.8047
galactomètre,nom,Instrument de mesure,0.8855
grelottement,nom,Frissonnement léger,0.8207
humanisation,nom,Adaptation à l'homme,0.8055
humoristique,adj,Drôle,0.9336
hydrotimètre,nom,Instrument de mesure,0.8064
hypermétrope,nom,Défaut de vision,0.8071
hypersonique,adj,Supersonique,0.9290
hypothétique,adj,Conditionnel,0.8267
hystéromètre,nom,Instrument de mesure,0.8147
hétérochrome,adj,Différent en couleur,0.8120
immodifiable,adj,Inaltérable,0.8429
immutabilité,nom,Inaltérabilité,0.8026
impartialité,nom,Neutralité,0.8698
imperfection,nom,Défaut,0.8677
inactivation,nom,Désactivation,0.9601
inchangeable,adj,Immuable,0.8093
incinération,nom,Destruction par le feu,0.8246
inclinomètre,nom,Appareil de mesure,0.8286
inconcevable,adj,Impensable,0.8346
incriminable,adj,Susceptible d'être accusé,0.8014
indemnisable,adj,Compensable,0.8212
indéfectible,adj,Inébranlable,0.8754
indéformable,adj,Inaltérable,0.8372
indépendance,nom,Liberté,0.9998
inexactitude,nom,Imprécision,0.8284
informulable,adj,Indéfinissable,0.8186
inimaginable,adj,Incroyable,0.9983
insoutenable,adj,Insupportable,0.8830
instrumental,adj,Musical,0.9173
insurrection,nom,Soulèvement populaire,0.8575
insémination,nom,Action de féconder,0.8100
intelligible,adj,Compréhensible,0.8216
interchanger,verbe,Échanger,0.9614
intervieweur,nom,Questionneur,0.8703
invérifiable,adj,Non prouvable,0.9006
irréformable,adj,Incorrigible,0.8525
irréfragable,adj,Incontestable,0.8212
irrémédiable,adj,Incurable,0.8157
lithographie,nom,Technique d'impression,0.8101
longitudinal,adj,Vertical,0.8349
légifération,nom,Action de rendre la loi,0.8310
macrographie,nom,Observation détaillée,0.8116
magnétomètre,nom,Instrument de mesure,0.9276
maximisateur,nom,Optimiseur,0.8560
maximisation,nom,Optimisation,0.9075
meurtrissure,nom,Contusion cutanée,0.8374
mobilisateur,adj,Animateur dynamique,0.8031
modification,nom,Altération,0.8043
newsmagazine,nom,Journal d'actualités,0.8114
oligoélément,nom,Minéral essentiel,0.8169
oscillomètre,nom,Instrument de mesure,0.9137
panaméricain,adj,Originaire d'Amérique,0.8379
panislamisme,nom,Union des musulmans,0.8176
paramétrable,adj,Réglable,0.9748
perpétration,nom,Action de commettre,0.8248
perspiration,nom,Transpiration,0.9148
philatéliste,nom,Collectionneur de timbres,0.8211
photomontage,nom,Composé d'images,0.8079
plausibilité,nom,Probabilité,0.8312
plurinominal,adj,Composé de plusieurs noms,0.8043
pluviométrie,nom,Mesure des précipitations,0.8637
politisation,nom,Instrumentalisation,0.8011
prolongeable,adj,Amendable,0.8625
préconscient,nom,Antérieur à la conscience,0.8093
psychopathie,nom,Trouble mental profond,0.8012
pénétromètre,nom,Appareil de mesure,0.9145
quadrilingue,nom,Bilingue,0.8690
quantifiable,adj,Mesurable,0.8063
quintessence,nom,Substance la plus pure,0.8323
remblaiement,nom,Élevage du sol,0.8989
remémoration,nom,Rappel nostalgique,0.8287
renouvelable,adj,Durable,0.9994
réapparaître,verbe,Revenir,0.8173
réapproprier,verbe,Reprendre possession,0.8068
récupérateur,nom,Collecteur,0.8267
régionaliser,verbe,Localiser,0.8046
régionaliste,nom,Localiste,0.8916
régénération,nom,Renaissance,0.9996
réimposition,nom,Nouveau prélèvement,0.8003
réminiscence,nom,Souvenir lointain,0.8011
rémunérateur,adj,Bienfaiteur,0.8410
réutilisable,adj,Recyclable,0.8804
révocabilité,nom,Annulabilité,0.8127
spectromètre,nom,Instrument d'analyse,0.8426
standardiser,verbe,Normaliser,0.9707
subconscient,nom,Inconscient,0.8736
substituable,adj,Échangeable,0.8174
substruction,nom,Soustraction,0.8109
superposable,adj,Échangeable,0.8090
surmortalité,nom,Taux de décès excessif,0.8276
surpassement,nom,Action de dépasser,0.8276
séparabilité,nom,Divisibilité,0.8278
thermographe,nom,Appareil de mesure,0.8156
transmetteur,nom,Émetteur,0.9201
transpondeur,nom,Émetteur-récepteur,0.8333
transporteur,nom,Véhicule,0.9997
transsonique,adj,Supersonique,0.8585
trilinguisme,nom,Maîtrise de trois langues,0.8301
trépignement,nom,Balancement,0.8284
turbidimètre,nom,Instrument de mesure,0.8241
ultramoderne,adj,Avant-gardiste,0.8246
viscosimètre,nom,Instrument de mesure,0.8790
échauffement,nom,Surchauffe musculaire,0.8271
émancipateur,nom,Libérateur,0.8076
aboutissement,nom,Résultat final,0.8299
acclimatation,nom,Adaptation au milieu,0.8097
adjudicataire,nom,Attributaire,0.8506
agglomération,nom,Rassemblement urbain,0.8310
antireligieux,adj,Hostile à la religion,0.8036
aphrodisiaque,nom,Stimulant sexuel,0.8578
applaudimètre,nom,Instrument de mesure,0.9231
approximation,nom,Estimation,0.8182
argumentateur,nom,Défendeur,0.8192
assourdissant,adj,Étourdissant,0.9135
asynchronisme,nom,Décalage temporel,0.8114
attendrissant,adj,Touchant,0.8808
bancassurance,nom,Vente d'assurances,0.8549
blottissement,nom,Gonflement,0.8556
bourdonnement,nom,Bruit continu,0.8762
budgétisation,nom,Évaluation des dépenses,0.8060
calculabilité,nom,Mesurabilité,0.8364
centimétrique,adj,Relatif à la mesure,0.8332
chancellement,nom,Légèrement,0.8252
chosification,nom,Réification,0.8372
cofinancement,nom,Participation financière,0.8603
commensurable,adj,Mesurable,0.8208
communicateur,nom,Émetteur,0.8430
contravariant,nom,Invariant opposé,0.8034
conventionnel,nom,Habituel,0.8190
courantomètre,nom,Appareil de mesure,0.9119
diagnostiquer,verbe,Déterminer,0.9441
diffusiomètre,nom,Instrument de mesure,0.8768
dissymétrique,adj,Asymétrique,0.9768
distinctivité,nom,Originalité,0.8051
diversifiable,adj,Adaptable,0.8038
doctrinarisme,nom,Rigidité idéologique,0.8068
dédommagement,nom,Compensation,0.8103
embouteilleur,nom,Remplisseur de bouteilles,0.8899
exterminateur,nom,Éradicateur,0.8536
extracorporel,adj,Hors du corps,0.8006
extraeuropéen,adj,Hors d'Europe,0.8378
formalisation,nom,Institutionnalisation,0.8231
globalisation,nom,Mondialisation,0.9832
généralisable,adj,Adaptable,0.8310
hellénistique,adj,Antiquité grecque,0.8980
horripilation,nom,Épouvantement,0.8374
hyperfonction,nom,Suractivité,0.8186
hypermétropie,nom,Trouble de la vision,0.8624
hypothyroïdie,nom,Trouble de la thyroïde,0.8804
hétérochromie,nom,Différence de couleur,0.8347
hétérogénéité,nom,Diversité,0.8115
hétéromorphie,nom,Différence de forme,0.8003
immaîtrisable,adj,Incontrôlable,0.8505
imputrescible,adj,Indestructible,0.8290
inamovibilité,nom,Immuabilité,0.8029
inapprochable,adj,Inaccessible,0.8447
incorporation,nom,Intégration,0.9630
incrimination,nom,Accusation,0.8356
inculturation,nom,Adaptation culturelle,0.8672
indemnisation,nom,Compensation,0.8016
indénombrable,adj,Innombrable,0.8184
inflorescence,nom,Rassemblement de fleurs,0.8260
instantanéité,nom,Rapidité,0.8025
interagissant,adj,En relation,0.8280
interrogeable,adj,Questionnable,0.9674
intertemporel,adj,Transcendant le temps,0.8606
intracérébral,adj,À l'intérieur du cerveau,0.8033
intraoculaire,adj,Au sein de l'œil,0.8345
irrattrapable,adj,Insaisissable,0.8366
jurisprudence,nom,Droit,0.9991
kilogrammètre,nom,Unité de mesure,0.8443
laryngoscopie,nom,Examen de la gorge,0.8007
manufacturier,nom,Industriel,0.9997
massification,nom,Généralisation,0.8804
micrométrique,adj,Étude des mesures,0.8132
moyennisation,nom,Égalisation,0.8327
multinational,adj,Transnational,0.9146
multipartisan,adj,Transpartisan,0.9780
métastabilité,nom,Instabilité persistante,0.8249
métropolitain,nom,Urbain,0.9996
numérologique,adj,Mathématique des chiffres,0.8135
oscillogramme,nom,Trace graphique,0.8076
oscillographe,nom,Instrument de mesure,0.8868
paresthésique,adj,Anesthésique,0.9682
phénoménalité,nom,Exceptionnel,0.8371
polyembryonie,nom,Multiplicité d'embryons,0.8134
primordialité,nom,Antériorité,0.8418
profitabilité,nom,Rentabilité,0.8421
prononciation,nom,Énonciation,0.8011
protestataire,nom,Militant,0.8286
préadolescent,nom,En voie d'adolescence,0.8690
psychonévrose,nom,Trouble mental,0.8196
périssabilité,nom,Vulnérabilité,0.8769
recommandable,adj,Louable,0.9903
rectification,nom,Correction,0.9997
renseignement,nom,Information,0.9997
retroussement,nom,Plissement,0.8271
roussissement,nom,Brunissement,0.8966
réflectomètre,nom,Instrument de mesure,0.8834
réfractomètre,nom,Instrument optique,0.8212
réfrigération,nom,Conservation du froid,0.8264
répréhensible,adj,Blâmable,0.8477
rétromorphose,nom,Transformation inverse,0.8033
rétroposition,nom,Insertion inverse,0.8433
révisionniste,nom,Négationniste,0.8601
réédification,nom,Reconstruction,0.8998
rééquilibrage,nom,Réajustement,0.8355
saccharimètre,nom,Instrument de mesure,0.8667
servocommande,nom,Actionneur piloté,0.8968
signification,nom,Sens,0.9998
socioaffectif,adj,Émotionnel,0.9033
soutenabilité,nom,Durabilité,0.8839
souverainisme,nom,Nationalisme extrême,0.8861
souverainiste,nom,Nationaliste,0.9847
supratemporal,adj,Postérieur au temps,0.8508
surbaissement,nom,Diminution du plafond,0.8056
surexcitation,nom,Émotion intense,0.8651
séquentialité,nom,Ordre successif,0.8166
sérialisation,nom,Conversion en série,0.8048
sérumalbumine,nom,Protéine du plasma,0.8076
