lemma,chosen,rejected,n_category
effectuer,Accomplir,Mener à bien,PP_BRIDGE
séparer,Disjoindre,Mettre à l'écart,PP_BRIDGE
forer,Trouer,Percer un trou,DOBJ
accorder,Octroyer,Donner une faveur,DOBJ
aggraver,Détériorer,Empirer la situation,DOBJ
ratifier,Confirmer,Approbation formelle,VERB_VERB
traverser,Franchir,Franc-tireur,VERB_VERB
bouger,Déplacer,Changements d'emplacement,PP_BRIDGE
vouer,Dédier,Engagement total,VERB_VERB
effacer,Rayer,Suppression définitive,VERB_VERB
brûler,Calciner,Combustion totale,VERB_VERB
attribuer,Octroyer,Distribution,SHORT_OK
décider,Statuer,Choix tranché,VERB_VERB
relever,Soulever,S'élever,REFLEXIVE
mouvoir,Bouger,Se déplacer,REFLEXIVE
baigner,Tremper,Se baigner,REFLEXIVE
coucher,Étendre,Se coucher,REFLEXIVE
réveiller,Tirer du sommeil,Se réveiller,REFLEXIVE
cacher,Dissimuler,Se cacher,REFLEXIVE
enfuir,Fuir,S'enfuir,REFLEXIVE
blesser,Meurtrir,Faire une blessure,DOBJ
salir,Souiller,Faire une tache,DOBJ
renforcer,Consolider,Donner de la force,PP_BRIDGE
polir,Lustrer,Donner un éclat,DOBJ
dorer,Auréoler,Mettre de l'or,PP_BRIDGE
vernir,Lustrer,Mettre une couche,DOBJ
ouvrir,Déboucher,Faire un passage,DOBJ
fermer,Boucler,Mettre un obstacle,DOBJ
vider,Évacuer,Faire le vide,DOBJ
remplir,Combler,Mettre un contenu,DOBJ
nettoyer,Récurer,Enlever la saleté,DOBJ
geler,Solidifier,Mettre dans le froid,PP_BRIDGE
démolir,Détruire,Faire une ruine,DOBJ
éclairer,Illuminer,Donner de la lumière,PP_BRIDGE
lever,Hausser,Se lever,REFLEXIVE
plier,Courber,Donner une courbe,DOBJ
hacher,Émincer,Couper en morceaux,PP_BRIDGE
tailler,Sculpter,Couper à la forme,PP_BRIDGE
clouer,Fixer,Mettre un clou,DOBJ
piquer,Percer,Donner un coup,DOBJ
rincer,Nettoyer,Passer à l'eau,PP_BRIDGE
colorer,Teindre,Donner une couleur,DOBJ
graver,Buriner,Faire une marque,DOBJ
tisser,Tramer,Faire un tissu,DOBJ
faire,Exécuter,Mettre en œuvre,PP_BRIDGE
donner,Offrir,Faire cadeau,VERB_VERB
produire,Élaborer,Faire naître,VERB_VERB
penser,Réfléchir,Avoir une idée,DOBJ
prendre,Saisir,Mettre la main,DOBJ
traire,Soutirer,Tirer le lait,DOBJ
suivre,Talonner,Aller derrière,VERB_VERB
entendre,Percevoir,Saisir au son,PP_BRIDGE
entrer,Pénétrer,Faire son entrée,DOBJ
reconnaitre,Identifier,Mettre un nom,DOBJ
députer,Mandater,Envoyer en mission,PP_BRIDGE
laisser,Abandonner,Mettre de côté,PP_BRIDGE
dire,Énoncer,Faire savoir,VERB_VERB
sortir,Extraire,Faire sortir,VERB_VERB
rester,Demeurer,Ne pas partir,VERB_VERB
demander,Solliciter,Poser une question,DOBJ
représenter,Symboliser,Faire l'image,DOBJ
parler,S'exprimer,Faire un discours,DOBJ
craindre,Redouter,Avoir peur,VERB_VERB
choisir,Élire,Faire un choix,DOBJ
couvrir,Voiler,Mettre une couche,DOBJ
associer,Réunir,Mettre ensemble,VERB_ADV
tirer,Extraire,Faire jaillir,VERB_VERB
prononcer,Énoncer,Faire un discours,DOBJ
condamner,Sanctionner,Mettre en prison,PP_BRIDGE
déclarer,Proclamer,Faire savoir,VERB_VERB
adresser,Envoyer,Mettre à la poste,PP_BRIDGE
diriger,Piloter,Mener à bien,PP_BRIDGE
revoir,Réexaminer,Mettre à jour,PP_BRIDGE
commencer,Initier,Mettre en route,PP_BRIDGE
fournir,Approvisionner,Faire un envoi,DOBJ
réunir,Rassembler,Mettre ensemble,VERB_ADV
commettre,Perpétrer,Faire une faute,DOBJ
juger,Statuer,Donner un avis,DOBJ
assurer,Garantir,Donner une garantie,DOBJ
signer,Parapher,Mettre son nom,DOBJ
décrire,Dépeindre,Faire un portrait,DOBJ
éloigner,Repousser,Mettre à distance,PP_BRIDGE
intéresser,Captiver,Mettre en avant,PP_BRIDGE
définir,Cerner,Donner un sens,DOBJ
inscrire,Enregistrer,Mettre par écrit,PP_BRIDGE
disposer,Agencer,Mettre en ordre,PP_BRIDGE
réserver,Garder,Mettre de côté,PP_BRIDGE
payer,Régler,Donner de l'argent,PP_BRIDGE
isoler,Cantonner,Mettre à part,PP_BRIDGE
désigner,Indiquer,Donner un nom,DOBJ
autoriser,Permettre,Donner le droit,DOBJ
constater,Observer,Faire le compte,DOBJ
extraire,Soustraire,Tirer un élément,DOBJ
construire,Édifier,Mettre debout,VERB_VERB
apporter,Fournir,Faire parvenir,VERB_VERB
allier,Unir,Mettre ensemble,VERB_ADV
engager,Recruter,Donner du travail,DOBJ
accompagner,Escorter,Aller avec,PP_BRIDGE
abandonner,Quitter,Laisser tomber,VERB_VERB
modifier,Altérer,Faire un changement,DOBJ
exprimer,Énoncer,Faire passer,VERB_VERB
exécuter,Réaliser,Mettre à exécution,PP_BRIDGE
concevoir,Imaginer,Mettre au point,PP_BRIDGE
amener,Conduire,Faire venir,VERB_VERB
avancer,Progresser,Aller plus loin,VERB_ADV
préparer,Apprêter,Mettre au point,PP_BRIDGE
signaler,Indiquer,Faire un signe,DOBJ
saisir,Empoigner,Mettre la main,DOBJ
terminer,Achever,Mettre un point final,DOBJ
retenir,Garder,Mettre en mémoire,PP_BRIDGE
déléguer,Mandater,Donner pouvoir,VERB_VERB
soutenir,Étayer,Donner son appui,DOBJ
frapper,Battre,Donner un coup,DOBJ
carrer,Élargir,Donner forme carrée,VERB_VERB
contraindre,Forcer,Mettre sous pression,PP_BRIDGE
exercer,Pratiquer,Faire un métier,DOBJ
pousser,Inciter,Faire avancer,VERB_VERB
salarier,Rémunérer,Donner un salaire,DOBJ
introduire,Insérer,Faire entrer,VERB_VERB
varier,Diversifier,Donner du choix,DOBJ
accepter,Approuver,Donner son accord,DOBJ
tenter,Essayer,Faire un essai,DOBJ
pourvoir,Doter,Mettre en possession,PP_BRIDGE
confier,Remettre,Mettre entre les mains,VERB_VERB
diviser,Scinder,Mettre en parts,PP_BRIDGE
rencontrer,Croiser,Tomber sur,PP_BRIDGE
joindre,Unir,Mettre ensemble,VERB_ADV
répandre,Diffuser,Faire connaître,VERB_VERB
réussir,Triompher,Mener à bien,PP_BRIDGE
contrer,Riposter,Faire obstacle,VERB_VERB
déposer,Lâcher,Mettre par terre,PP_BRIDGE
résoudre,Trancher,Mettre au clair,PP_BRIDGE
augmenter,Croître,Donner du volume,DOBJ
tracer,Dessiner,Faire une marque,DOBJ
maintenir,Préserver,Garder en place,PP_BRIDGE
résumer,Synthétiser,Faire court,VERB_VERB
rapporter,Relater,Faire savoir,VERB_VERB
subir,Endurer,Faire face,VERB_VERB
accuser,Incriminer,Mettre en cause,PP_BRIDGE
atteindre,Toucher,Mettre la main,DOBJ
imprimer,Tirer,Faire passer à la presse,VERB_VERB
prétendre,Affirmer,Faire valoir,VERB_VERB
pratiquer,Exercer,Mettre en pratique,PP_BRIDGE
mener,Conduire,Faire avancer,VERB_VERB
curer,Nettoyer,Mettre au propre,PP_BRIDGE
accomplir,Réaliser,Mettre à bien,PP_BRIDGE
mentionner,Évoquer,Faire référence,VERB_VERB
livrer,Remettre,Faire parvenir,VERB_VERB
offrir,Donner,Mettre à disposition,PP_BRIDGE
comparer,Confronter,Mettre en regard,PP_BRIDGE
recueillir,Collecter,Mettre en lieu sûr,PP_BRIDGE
ordonner,Décréter,Donner un ordre,DOBJ
traduire,Transposer,Mettre en langue,PP_BRIDGE
remettre,Redonner,Mettre à neuf,PP_BRIDGE
distinguer,Discerner,Mettre à part,PP_BRIDGE
entourer,Encercler,Mettre autour,VERB_VERB
installer,Implanter,Mettre en place,PP_BRIDGE
convaincre,Persuader,Faire admettre,VERB_VERB
énoncer,Articuler,Mettre en mots,PP_BRIDGE
ajouter,Adjoindre,Mettre en plus,PP_BRIDGE
démontrer,Prouver,Mettre en évidence,PP_BRIDGE
régler,Résoudre,Mettre au point,PP_BRIDGE
provoquer,Susciter,Mettre le feu,DOBJ
causer,Engendrer,Donner lieu,VERB_VERB
chercher,Quérir,Mettre la main dessus,DOBJ
examiner,Scruter,Mettre à l'épreuve,PP_BRIDGE
issir,Émerger,Sortir de,PP_BRIDGE
muser,Flâner,Perdre son temps,DOBJ
attaquer,Assaillir,Donner l'assaut,DOBJ
précéder,Devancer,Aller devant,VERB_VERB
poursuivre,Continuer,Aller plus avant,VERB_ADV
cultiver,Travailler,Faire pousser,VERB_VERB
rédiger,Composer,Mettre par écrit,PP_BRIDGE
détailler,Énumérer,Mettre en détail,PP_BRIDGE
confirmer,Corroborer,Donner sa confirmation,DOBJ
inspirer,Insuffler,Donner le ton,DOBJ
élire,Choisir,Donner sa voix,DOBJ
refuser,Décliner,Dire non,VERB_VERB
qualifier,Caractériser,Donner un nom,DOBJ
entraîner,Drainer,Mener vers,VERB_VERB
remarquer,Noter,Mettre en lumière,PP_BRIDGE
achever,Terminer,Mettre un terme,DOBJ
vendre,Céder,Mettre en vente,PP_BRIDGE
partager,Diviser,Mettre en commun,PP_BRIDGE
calculer,Compter,Faire le calcul,DOBJ
conclure,Achever,Mettre un point final,DOBJ
jouer,Interpréter,Faire semblant,VERB_VERB
intituler,Titrer,Donner un titre,DOBJ
marier,Unir,Mettre en couple,PP_BRIDGE
surprendre,Étonner,Mettre en émoi,PP_BRIDGE
privilégier,Favoriser,Mettre en avant,PP_BRIDGE
baser,Fonder,Mettre en assise,PP_BRIDGE
estimer,Évaluer,Donner une valeur,DOBJ
animer,Vivifier,Mettre en vie,PP_BRIDGE
prolonger,Étendre,Faire durer,VERB_VERB
dresser,Ériger,Mettre debout,VERB_VERB
éprouver,Ressentir,Mettre à l'épreuve,PP_BRIDGE
répéter,Réitérer,Dire encore,VERB_VERB
menacer,Intimider,Faire peur,VERB_VERB
percevoir,Discerner,Saisir au son,PP_BRIDGE
mêler,Brasser,Mettre ensemble,VERB_ADV
défendre,Protéger,Mettre à l'abri,PP_BRIDGE
enlever,Ôter,Mettre à part,PP_BRIDGE
viser,Cibler,Mettre en joue,PP_BRIDGE
consulter,Interroger,Demander avis,VERB_VERB
adapter,Ajuster,Mettre en accord,PP_BRIDGE
suspendre,Interrompre,Mettre en attente,PP_BRIDGE
annoncer,Proclamer,Faire savoir,VERB_VERB
oublier,Omettre,Sortir de l'esprit,PP_BRIDGE
retrouver,Récupérer,Mettre la main dessus,DOBJ
modérer,Tempérer,Mettre un frein,DOBJ
commander,Ordonner,Donner un ordre,DOBJ
prouver,Démontrer,Faire la preuve,DOBJ
essayer,Tenter,Mettre à l'essai,PP_BRIDGE
garder,Conserver,Mettre de côté,PP_BRIDGE
opérer,Manœuvrer,Mettre en marche,PP_BRIDGE
requérir,Réclamer,Mettre en demande,PP_BRIDGE
toucher,Effleurer,Mettre la main,DOBJ
révéler,Dévoiler,Mettre au jour,PP_BRIDGE
emprunter,Recourir,Mettre la main,DOBJ
couper,Trancher,Mettre en morceaux,PP_BRIDGE
jeter,Lancer,Mettre dehors,VERB_ADV
affecter,Toucher,Faire impression,VERB_VERB
plaindre,Compatir,Avoir pitié,VERB_VERB
monter,Hisser,Faire grimper,VERB_VERB
adjoindre,Annexer,Mettre à côté,PP_BRIDGE
prescrire,Ordonner,Donner une consigne,DOBJ
préjuger,Présumer,Avoir un avis,DOBJ
défaire,Détruire,Mettre en désordre,PP_BRIDGE
vaincre,Surmonter,Mettre KO,VERB_VERB
unir,Fusionner,Mettre ensemble,VERB_ADV
dépourvoir,Démunir,Priver d'un bien,PP_BRIDGE
quitter,Délaisser,Mettre les voiles,DOBJ
approuver,Entériner,Donner son accord,DOBJ
délivrer,Libérer,Sortir des chaînes,DOBJ
compliquer,Embrouiller,Rendre difficile,VERB_VERB
apercevoir,Distinguer,Mettre en vue,PP_BRIDGE
voter,Élire,Donner sa voix,DOBJ
promettre,Engager,Donner sa parole,DOBJ
protéger,Préserver,Mettre à l'abri,PP_BRIDGE
voir,Apercevoir,Mettre en vue,PP_BRIDGE
justifier,Légitimer,Donner raison,VERB_VERB
restreindre,Limiter,Mettre des bornes,DOBJ
instituer,Établir,Mettre en place,PP_BRIDGE
supposer,Présumer,Tenir pour vrai,PP_BRIDGE
appuyer,Soutenir,Donner son aide,DOBJ
lancer,Projeter,Mettre en route,PP_BRIDGE
inviter,Convier,Faire venir,VERB_VERB
reproduire,Copier,Faire à l'identique,PP_BRIDGE
convenir,Harmoniser,Mettre d'accord,PP_BRIDGE
manquer,Faillir,Ne pas être présent,VERB_VERB
exiger,Réclamer,Mettre une condition,DOBJ
élaborer,Concevoir,Mettre au point,PP_BRIDGE
aimer,Chérir,Avoir un faible,DOBJ
formuler,Articuler,Mettre en mots,PP_BRIDGE
regarder,Observer,Mettre en vue,PP_BRIDGE
spécialiser,Affecter,Mettre en domaine,PP_BRIDGE
communiquer,Transmettre,Faire savoir,VERB_VERB
gagner,Conquérir,Mettre la main,DOBJ
assoir,Stabiliser,Mettre en place,PP_BRIDGE
mesurer,Évaluer,Donner la taille,DOBJ
satisfaire,Combler,Donner satisfaction,VERB_VERB
dépasser,Surclasser,Mettre derrière,VERB_VERB
ranger,Classer,Mettre en ordre,PP_BRIDGE
informer,Renseigner,Faire savoir,VERB_VERB
classer,Trier,Mettre en ordre,PP_BRIDGE
réfugier,Abriter,Mettre à l'abri,PP_BRIDGE
travailler,Œuvrer,Faire un effort,DOBJ
épuiser,Tarir,Mettre à plat,PP_BRIDGE
peindre,Colorer,Faire un tableau,DOBJ
évoquer,Mentionner,Faire allusion,VERB_VERB
devoir,Falloir,Avoir une obligation,DOBJ
détenir,Posséder,Avoir en sa possession,PP_BRIDGE
apprendre,Étudier,Mettre en mémoire,PP_BRIDGE
chausser,Enfiler,Mettre aux pieds,PP_BRIDGE
soulever,Élever,Mettre en l'air,PP_BRIDGE
expliquer,Détailler,Faire comprendre,VERB_VERB
négliger,Délaisser,Mettre de côté,PP_BRIDGE
distribuer,Répartir,Donner à chacun,PP_BRIDGE
prévenir,Avertir,Faire savoir,VERB_VERB
dater,Marquer,Mettre une date,DOBJ
bâtir,Édifier,Mettre debout,VERB_VERB
favoriser,Avantager,Mettre en avant,PP_BRIDGE
enregistrer,Consigner,Mettre sur bande,PP_BRIDGE
acheter,Acquérir,Faire emplette,VERB_VERB
compromettre,Risquer,Mettre en danger,PP_BRIDGE
trancher,Couper,Mettre fin,VERB_VERB
instruire,Former,Faire savoir,VERB_VERB
dériver,Découler,Tirer son origine,DOBJ
accueillir,Recevoir,Faire bon accueil,VERB_VERB
manifester,Témoigner,Mettre en évidence,PP_BRIDGE
détacher,Séparer,Mettre à part,PP_BRIDGE
transmettre,Communiquer,Faire passer,VERB_VERB
persuader,Convaincre,Faire admettre,VERB_VERB
renouveler,Régénérer,Donner un renouveau,DOBJ
combiner,Mêler,Mettre ensemble,VERB_ADV
transporter,Acheminer,Faire passer,VERB_VERB
continuer,Persister,Aller plus loin,VERB_ADV
écarter,Repousser,Mettre à distance,PP_BRIDGE
relier,Connecter,Mettre en liaison,PP_BRIDGE
insérer,Intercaler,Mettre dedans,VERB_ADV
exagérer,Amplifier,En faire trop,VERB_VERB
concentrer,Focaliser,Mettre au point,PP_BRIDGE
rentrer,Revenir,Mettre dedans,VERB_ADV
émettre,Diffuser,Faire entendre,VERB_VERB
tendre,Étirer,Mettre sous tension,PP_BRIDGE
orner,Embellir,Mettre en valeur,PP_BRIDGE
respecter,Vénérer,Avoir des égards,DOBJ
empreindre,Imprégner,Donner une marque,DOBJ
libérer,Affranchir,Mettre dehors,VERB_ADV
compléter,Parachever,Donner la dernière touche,DOBJ
tromper,Duper,Donner le change,DOBJ
régir,Gouverner,Mettre des règles,DOBJ
briser,Fracasser,Mettre en miettes,PP_BRIDGE
précipiter,Hâter,Faire arriver vite,VERB_VERB
intégrer,Inclure,Faire entrer,VERB_VERB
contracter,Resserrer,Mettre sous tension,PP_BRIDGE
excepter,Exclure,Mettre à part,PP_BRIDGE
apprécier,Estimer,Avoir du goût,DOBJ
dégager,Libérer,Mettre en évidence,PP_BRIDGE
confondre,Mélanger,Prendre l'un pour l'autre,DOBJ
conjoindre,Unir,Mettre ensemble,VERB_ADV
teindre,Colorer,Donner une couleur,DOBJ
fumer,Vapoter,Faire de la fumée,PP_BRIDGE
battre,Vaincre,Donner une raclée,DOBJ
subordonner,Asservir,Mettre sous tutelle,PP_BRIDGE
exclure,Bannir,Mettre dehors,VERB_ADV
doter,Pourvoir,Donner en dot,PP_BRIDGE
noter,Constater,Mettre par écrit,PP_BRIDGE
assister,Aider,Donner un coup de main,DOBJ
préférer,Privilégier,Mettre en premier,PP_BRIDGE
fabriquer,Confectionner,Mettre au point,PP_BRIDGE
entretenir,Maintenir,Mettre en état,PP_BRIDGE
attendre,Patienter,Faire le pied de grue,DOBJ
pénétrer,Entrer,Mettre dedans,VERB_ADV
ramener,Rapporter,Faire revenir,VERB_VERB
empêcher,Interdire,Mettre obstacle,VERB_VERB
intervenir,Agir,Mettre son grain,DOBJ
consentir,Accepter,Donner son accord,DOBJ
rassembler,Regrouper,Mettre ensemble,VERB_ADV
souligner,Accentuer,Mettre en évidence,PP_BRIDGE
absorber,Engloutir,Faire disparaître,VERB_VERB
croiser,Recouper,Mettre en travers,PP_BRIDGE
parcourir,Sillonner,Faire le tour,DOBJ
exploiter,Tirer parti,Mettre à profit,PP_BRIDGE
borner,Limiter,Mettre une limite,DOBJ
répartir,Distribuer,Mettre en parts,PP_BRIDGE
approfondir,Creuser,Aller au fond,PP_BRIDGE
évaluer,Estimer,Donner une mesure,DOBJ
importer,Compter,Avoir de l'importance,PP_BRIDGE
contester,Discuter,Mettre en doute,PP_BRIDGE
aider,Assister,Donner un coup de main,DOBJ
imaginer,Concevoir,Voir en pensée,PP_BRIDGE
orienter,Diriger,Donner une direction,DOBJ
troubler,Perturber,Mettre en émoi,PP_BRIDGE
allonger,Étendre,Faire long,VERB_VERB
emporter,Subtiliser,Faire disparaître,VERB_VERB
échapper,Fuir,Mettre les voiles,DOBJ
analyser,Décomposer,Faire un examen,DOBJ
repousser,Refuser,Mettre à l'écart,PP_BRIDGE
affirmer,Soutenir,Faire valoir,VERB_VERB
illustrer,Imager,Donner un exemple,DOBJ
interrompre,Stopper,Mettre un coup d'arrêt,DOBJ
renverser,Culbuter,Mettre à terre,PP_BRIDGE
déboucher,Désobstruer,Faire passer,VERB_VERB
conquérir,Soumettre,Mettre la main,DOBJ
compter,Énumérer,Faire le compte,DOBJ
disperser,Éparpiller,Mettre en désordre,PP_BRIDGE
projeter,Lancer,Mettre en avant,PP_BRIDGE
souffrir,Pâtir,Avoir mal,VERB_ADV
figurer,Représenter,Avoir une place,DOBJ
assimiler,Intégrer,Mettre au même rang,PP_BRIDGE
punir,Sanctionner,Mettre en peine,PP_BRIDGE
habituer,Accoutumer,Mettre dans le bain,PP_BRIDGE
habiter,Loger,Avoir son domicile,DOBJ
rompre,Briser,Mettre fin,VERB_VERB
altérer,Détériorer,Mettre à mal,PP_BRIDGE
annexer,Joindre,Mettre à la suite,PP_BRIDGE
enfermer,Cloîtrer,Mettre sous clé,PP_BRIDGE
contrôler,Vérifier,Mettre à l'épreuve,PP_BRIDGE
proclamer,Déclarer,Faire savoir,VERB_VERB
réfléchir,Méditer,Avoir une pensée,DOBJ
presser,Hâter,Mettre la pression,DOBJ
percer,Trouer,Faire un trou,DOBJ
rappeler,Évoquer,Faire revenir,VERB_VERB
désirer,Convoiter,Avoir envie,VERB_VERB
assigner,Attribuer,Donner en partage,PP_BRIDGE
présider,Diriger,Mettre en tête,PP_BRIDGE
jurer,Promettre,Donner sa parole,DOBJ
motiver,Inciter,Donner une raison,DOBJ
inventer,Imaginer,Mettre au monde,PP_BRIDGE
réclamer,Exiger,Mettre en demande,PP_BRIDGE
entrevoir,Soupçonner,Avoir un aperçu,DOBJ
coordonner,Harmoniser,Mettre en accord,PP_BRIDGE
préciser,Spécifier,Mettre les points,DOBJ
garnir,Décorer,Mettre des ornements,DOBJ
investir,Placer,Mettre du capital,DOBJ
rétablir,Restaurer,Remettre en place,PP_BRIDGE
dessiner,Tracer,Faire une esquisse,DOBJ
éteindre,Souffler,Faire taire,VERB_VERB
induire,Mener,Faire conclure,VERB_VERB
peupler,Habiter,Mettre des habitants,DOBJ
susciter,Provoquer,Faire naître,VERB_VERB
planter,Enraciner,Mettre en terre,PP_BRIDGE
incliner,Pencher,Mettre de travers,PP_BRIDGE
tuer,Abattre,Mettre à mort,PP_BRIDGE
vêtir,Habiller,Mettre des habits,DOBJ
dépouiller,Déposséder,Mettre à nu,PP_BRIDGE
visiter,Parcourir,Faire le tour,DOBJ
nourrir,Sustenter,Donner à manger,PP_BRIDGE
grouper,Rassembler,Mettre ensemble,VERB_ADV
aborder,Approcher,Aller vers,VERB_VERB
ignorer,Méconnaître,Faire abstraction,VERB_VERB
fatiguer,Lasser,Mettre à plat,PP_BRIDGE
sauver,Secourir,Tirer d'affaire,PP_BRIDGE
agiter,Remuer,Mettre en mouvement,PP_BRIDGE
dissoudre,Diluer,Mettre en solution,PP_BRIDGE
dominer,Surplomber,Mettre sous contrôle,PP_BRIDGE
interpréter,Décrypter,Donner un sens,DOBJ
creuser,Forer,Faire un trou,DOBJ
plonger,Immerger,Mettre dans l'eau,PP_BRIDGE
préoccuper,Soucier,Donner du souci,DOBJ
recommander,Conseiller,Donner un conseil,DOBJ
accoutumer,Habituer,Mettre dans l'habitude,PP_BRIDGE
identifier,Reconnaître,Mettre un nom,DOBJ
abattre,Anéantir,Mettre à terre,PP_BRIDGE
renvoyer,Reporter,Mettre à plus tard,PP_BRIDGE
améliorer,Bonifier,Rendre meilleur,VERB_VERB
enseigner,Inculquer,Faire savoir,VERB_VERB
généraliser,Étendre,Mettre partout,VERB_VERB
raconter,Narrer,Faire le récit,DOBJ
accentuer,Renforcer,Mettre en relief,PP_BRIDGE
invoquer,Citer,Faire appel,VERB_VERB
confronter,Comparer,Mettre face à face,VERB_VERB
vérifier,Contrôler,Mettre à l'épreuve,PP_BRIDGE
envahir,Déferler,Mettre la main,DOBJ
solliciter,Implorer,Faire la demande,DOBJ
avertir,Prévenir,Donner un signal,DOBJ
corriger,Amender,Mettre au point,PP_BRIDGE
administrer,Gérer,Mettre en ordre,PP_BRIDGE
abstraire,Isoler,Mettre à part,PP_BRIDGE
accumuler,Amasser,Mettre en tas,PP_BRIDGE
comprimer,Compacter,Mettre sous pression,PP_BRIDGE
doubler,Multiplier,Mettre en double,PP_BRIDGE
déduire,Inférer,Tirer une conclusion,DOBJ
élargir,Étendre,Mettre plus large,VERB_ADV
substituer,Remplacer,Mettre à la place,PP_BRIDGE
descendre,Dévaler,Aller vers le bas,VERB_VERB
ressentir,Éprouver,Avoir un sentiment,DOBJ
supporter,Endurer,Tenir le coup,DOBJ
transférer,Déplacer,Faire passer,VERB_VERB
changer,Modifier,Faire un changement,DOBJ
munir,Doter,Mettre en possession,PP_BRIDGE
consommer,Ingérer,Mettre dans l'estomac,PP_BRIDGE
surmonter,Vaincre,Mettre KO,VERB_VERB
reculer,Régresser,Aller en arrière,PP_BRIDGE
expédier,Envoyer,Mettre en route,PP_BRIDGE
impliquer,Englober,Mettre en cause,PP_BRIDGE
célébrer,Glorifier,Faire la fête,DOBJ
influencer,Affecter,Mettre la pression,DOBJ
concerner,Toucher,Avoir un rapport,DOBJ
localiser,Repérer,Mettre la main,DOBJ
dicter,Imposer,Mettre par écrit,PP_BRIDGE
convertir,Transformer,Faire changer,VERB_VERB
engendrer,Provoquer,Donner naissance,VERB_VERB
décorer,Embellir,Mettre des ornements,DOBJ
renoncer,Abdiquer,Mettre fin,VERB_VERB
avouer,Confesser,Faire un aveu,DOBJ
soigner,Médicamenter,Donner des soins,DOBJ
suggérer,Insinuer,Faire entendre,VERB_VERB
encourager,Stimuler,Donner courage,VERB_VERB
désespérer,Décourager,Avoir perdu espoir,VERB_VERB
éditer,Publier,Mettre en presse,PP_BRIDGE
convoquer,Mander,Faire venir,VERB_VERB
équiper,Munir,Donner les outils,DOBJ
gouverner,Régner,Mettre en tête,PP_BRIDGE
affaiblir,Diminuer,Mettre à mal,PP_BRIDGE
méconnaitre,Ignorer,Ne pas reconnaître,VERB_VERB
voler,Dérober,Mettre la main,DOBJ
loger,Héberger,Donner un toit,DOBJ
souhaiter,Espérer,Faire un vœu,DOBJ
ruiner,Anéantir,Mettre à sac,PP_BRIDGE
semer,Disséminer,Mettre en terre,PP_BRIDGE
consigner,Noter,Mettre par écrit,PP_BRIDGE
guider,Conduire,Donner la direction,DOBJ
